team_name,team_region,core_shots,core_goals,core_saves,core_assists,movement_total_distance,air_time,defense_time,offense_time,demo_inflicted,score,winner,event,event_split
VERSION1,North America,55.0,17.0,9.0,15.0,6264924.0,321.64,2369.25,1872.75,16.0,4,True,World Championship,Summer
PIRATES EXDEE,Sub-Saharan Africa,14.0,4.0,23.0,4.0,6178877.0,231.16,3095.65,1133.84,13.0,0,False,World Championship,Summer
RENEGADES,Oceania,41.0,13.0,11.0,10.0,6574933.0,261.94,2362.55,1881.98,15.0,4,True,World Championship,Summer
BRAVADO GAMING,Sub-Saharan Africa,15.0,2.0,23.0,1.0,6049720.0,233.12,3137.73,1084.11,7.0,0,False,World Championship,Summer
DIGNITAS,Europe,46.0,24.0,9.0,21.0,6368236.0,292.0,2630.06,1761.81,12.0,4,True,World Championship,Summer
GAIMIN GLADIATORS,Asia-Pacific North,13.0,3.0,11.0,1.0,6498322.0,289.94,3076.49,1319.15,13.0,0,False,World Championship,Summer
SPACESTATION GAMING,North America,46.0,12.0,20.0,5.0,9782624.0,426.91,3898.96,2596.93,22.0,4,True,World Championship,Summer
THE CLUB,South America,33.0,10.0,22.0,8.0,9595881.0,424.42,4561.75,1940.28,24.0,2,False,World Championship,Summer
KARMINE CORP,Europe,50.0,14.0,17.0,12.0,7849582.0,431.27,3016.97,2280.31,20.0,4,True,World Championship,Summer
01 ESPORTS,Middle East & North Africa,29.0,8.0,21.0,5.0,7524077.0,361.73,3787.28,1502.94,18.0,1,False,World Championship,Summer
PIONEERS,Oceania,29.0,9.0,23.0,8.0,7664652.0,334.87,3379.59,1712.21,14.0,4,True,World Championship,Summer
VELOCE ESPORTS,Middle East & North Africa,32.0,4.0,16.0,4.0,7899146.0,299.07,3147.93,1957.2,18.0,0,False,World Championship,Summer
TEAM SECRET,South America,30.0,8.0,21.0,6.0,7048691.0,368.73,3226.12,1578.31,23.0,0,False,World Championship,Summer
SMPR ESPORTS,Europe,36.0,13.0,14.0,10.0,7082371.0,331.08,2925.81,1833.78,9.0,4,True,World Championship,Summer
SENBEI STRIKERS,Asia-Pacific North,18.0,6.0,26.0,5.0,5927486.0,262.43,3002.1,1209.64,8.0,0,False,World Championship,Summer
OPTIC GAMING,North America,45.0,12.0,10.0,10.0,6497418.0,305.06,2508.48,1745.0,19.0,4,True,World Championship,Summer
VERSION1,North America,58.0,10.0,26.0,7.0,10405255.0,455.16,4793.73,2340.36,36.0,2,False,World Championship,Summer
SPACESTATION GAMING,North America,50.0,17.0,39.0,11.0,10410493.0,454.62,4574.19,2528.79,28.0,4,True,World Championship,Summer
RENEGADES,Oceania,22.0,4.0,11.0,2.0,6223603.0,280.38,2751.53,1366.25,10.0,0,False,World Championship,Summer
KARMINE CORP,Europe,29.0,12.0,16.0,12.0,6105162.0,288.61,2655.06,1463.93,10.0,4,True,World Championship,Summer
DIGNITAS,Europe,28.0,5.0,15.0,4.0,6099181.0,296.02,2804.25,1380.28,7.0,0,False,World Championship,Summer
OPTIC GAMING,North America,34.0,10.0,19.0,8.0,6473189.0,309.42,2762.92,1451.64,17.0,4,True,World Championship,Summer
PIONEERS,Oceania,29.0,3.0,32.0,2.0,7186414.0,325.73,3173.58,1533.8,16.0,0,False,World Championship,Summer
SMPR ESPORTS,Europe,45.0,8.0,22.0,6.0,7133101.0,301.93,2849.64,1876.67,22.0,4,True,World Championship,Summer
THE CLUB,South America,46.0,19.0,22.0,13.0,6485605.0,312.3,2633.39,1672.34,27.0,4,True,World Championship,Summer
BRAVADO GAMING,Sub-Saharan Africa,28.0,4.0,21.0,4.0,6134816.0,203.22,2955.78,1299.6,9.0,0,False,World Championship,Summer
01 ESPORTS,Middle East & North Africa,55.0,16.0,8.0,13.0,6313164.0,286.01,2401.01,1850.18,14.0,4,True,World Championship,Summer
GAIMIN GLADIATORS,Asia-Pacific North,16.0,3.0,30.0,1.0,6218126.0,301.04,3030.66,1207.23,10.0,0,False,World Championship,Summer
TEAM SECRET,South America,54.0,19.0,7.0,10.0,6465027.0,297.12,2659.04,1744.66,14.0,4,True,World Championship,Summer
PIRATES EXDEE,Sub-Saharan Africa,18.0,6.0,20.0,5.0,6315771.0,248.18,3064.03,1330.13,13.0,0,False,World Championship,Summer
SENBEI STRIKERS,Asia-Pacific North,26.0,5.0,20.0,4.0,5810376.0,306.04,2920.45,1231.89,5.0,0,False,World Championship,Summer
VELOCE ESPORTS,Middle East & North Africa,40.0,12.0,17.0,12.0,6387733.0,294.69,2352.39,1824.32,13.0,4,True,World Championship,Summer
SMPR ESPORTS,Europe,53.0,14.0,29.0,13.0,10759523.0,429.21,4528.7,2789.59,19.0,4,True,World Championship,Summer
SPACESTATION GAMING,North America,50.0,13.0,34.0,11.0,10861406.0,489.82,4800.55,2546.36,28.0,3,False,World Championship,Summer
OPTIC GAMING,North America,23.0,4.0,18.0,4.0,6326743.0,283.04,2700.34,1408.41,22.0,0,False,World Championship,Summer
KARMINE CORP,Europe,41.0,12.0,16.0,11.0,5949419.0,304.11,2654.72,1404.51,5.0,4,True,World Championship,Summer
