,Team Name,Team Region,Shots,Goals,Saves,Assists,Time at Full Boost,Total Distance Moved,Time at Supersonic Speed,Time in High Air,Powerslide Distance,Demos Inflicted,Demos Taken,Score,Winner,Demos Per Goal,ShotsPerGoal
0,GROUND ZERO GAMING,Oceania,34.0,9.0,8.0,7.0,370.91,4694698.0,578.77,210.83,840.0,6.0,7.0,3,True,0.67,3.78
1,RANGA ROUNDUP,Oceania,15.0,5.0,21.0,3.0,313.0,4774768.0,614.48,175.53,702.0,7.0,6.0,0,False,1.4,3.0
2,RENEGADES,Oceania,46.0,21.0,10.0,21.0,311.35,5098012.0,600.1,238.28,767.0,11.0,7.0,3,True,0.52,2.19
3,TRIDENT ESPORTS,Oceania,16.0,4.0,16.0,3.0,278.31,4893312.0,542.23,174.47,551.0,7.0,11.0,0,False,1.75,4.0
4,DIRE WOLVES,Oceania,46.0,12.0,13.0,9.0,796.05,6680885.0,644.94,290.85,1020.0,13.0,8.0,3,True,1.08,3.83
5,TEAM EROS,Oceania,24.0,6.0,23.0,4.0,478.34,6724043.0,692.92,247.19,1363.0,8.0,13.0,1,False,1.33,4.0
6,WILDCARD GAMING,Oceania,46.0,19.0,10.0,14.0,335.7,4891428.0,494.16,209.27,687.0,8.0,11.0,3,True,0.42,2.42
7,BIG GOOSE,Oceania,18.0,6.0,21.0,5.0,308.53,4951734.0,598.58,206.05,879.0,11.0,8.0,0,False,1.83,3.0
10,FORKIDDEN,Oceania,30.0,7.0,18.0,6.0,273.63,4599223.0,591.58,143.35,927.0,12.0,7.0,3,True,1.71,4.29
11,RANCID RATS REBORN,Oceania,21.0,0.0,16.0,0.0,243.98,4332155.0,425.35,151.09,634.0,7.0,12.0,0,False,inf,inf
12,VORT CENTRAL,Oceania,21.0,5.0,19.0,4.0,386.86,6004228.0,607.49,250.47,930.0,7.0,14.0,1,False,1.4,4.2
13,BANDITS ESC,Oceania,32.0,10.0,13.0,8.0,577.39,6238192.0,769.2,233.15,993.0,14.0,7.0,3,True,1.4,3.2
16,DIRE WOLVES,Oceania,24.0,6.0,12.0,4.0,421.52,4533004.0,489.05,158.82,724.0,9.0,6.0,0,False,1.5,4.0
17,WILDCARD GAMING,Oceania,25.0,11.0,16.0,8.0,306.94,4666402.0,496.77,182.4,734.0,6.0,9.0,3,True,0.55,2.27
18,R!OT GAMING,Oceania,28.0,8.0,14.0,6.0,337.25,4422344.0,426.81,162.42,791.0,12.0,8.0,3,True,1.5,3.5
19,FORKIDDEN,Oceania,23.0,4.0,15.0,4.0,246.27,4685188.0,592.16,166.59,978.0,8.0,12.0,0,False,2.0,5.75
20,RENEGADES,Oceania,46.0,11.0,19.0,8.0,543.15,7915047.0,857.65,364.27,1287.0,18.0,13.0,3,True,1.64,4.18
21,BANDITS ESC,Oceania,28.0,7.0,28.0,7.0,657.48,7999786.0,980.82,340.75,1199.0,13.0,18.0,1,False,1.86,4.0
22,THE GROGANS,Oceania,32.0,3.0,25.0,2.0,432.89,7949748.0,781.06,315.2,1267.0,20.0,19.0,2,False,6.67,10.67
23,GROUND ZERO GAMING,Oceania,38.0,6.0,22.0,4.0,633.72,8354379.0,1018.67,382.18,1401.0,19.0,20.0,3,True,3.17,6.33
24,RANGA ROUNDUP,Oceania,33.0,9.0,15.0,5.0,576.16,7779975.0,993.17,311.77,1047.0,15.0,7.0,2,False,1.67,3.67
25,TRIDENT ESPORTS,Oceania,33.0,9.0,13.0,7.0,411.42,7333432.0,732.45,297.24,768.0,7.0,15.0,3,True,0.78,3.67
28,BIG GOOSE,Oceania,47.0,11.0,29.0,9.0,454.09,7845471.0,760.1,315.59,1365.0,17.0,7.0,2,False,1.55,4.27
29,VORT CENTRAL,Oceania,50.0,12.0,24.0,9.0,668.53,7858928.0,789.99,300.81,1181.0,7.0,17.0,3,True,0.58,4.17
30,TEAM EROS,Oceania,42.0,16.0,22.0,10.0,432.31,6009522.0,653.46,206.17,1267.0,11.0,13.0,3,True,0.69,2.62
31,PANIK GAMING,Oceania,30.0,5.0,17.0,5.0,316.38,5722883.0,532.25,201.73,886.0,13.0,11.0,1,False,2.6,6.0
32,WILDCARD GAMING,Oceania,24.0,5.0,13.0,4.0,329.6,4720335.0,475.22,176.55,643.0,4.0,5.0,0,False,0.8,4.8
33,GROUND ZERO GAMING,Oceania,29.0,12.0,14.0,10.0,362.15,4600472.0,526.22,226.83,792.0,5.0,4.0,3,True,0.42,2.42
36,TRIDENT ESPORTS,Oceania,43.0,10.0,22.0,7.0,438.8,8323619.0,808.12,378.52,847.0,12.0,21.0,2,False,1.2,4.3
37,THE GROGANS,Oceania,42.0,13.0,26.0,11.0,528.08,8388214.0,872.84,370.65,1240.0,21.0,12.0,3,True,1.62,3.23
38,BANDITS ESC,Oceania,42.0,16.0,18.0,15.0,527.43,6351315.0,791.29,273.51,912.0,18.0,6.0,3,True,1.12,2.62
